word,link/text
what's your name?, "it takes me 10 seconds to answer this question"
water,https://open.spotify.com/intl-pt/album/5O2nQMDT5UlLbBJeLnkzYF?si=WP8WmwJ9TSSUISjb1ArQZA
corpo,https://open.spotify.com/intl-pt/album/5wXPJhEkBGqqx9ChqkKL2y?si=ioZ0OdRYT5yz2fk4tT1n7g
policy,https://www.nature.com/articles/s41893-024-01475-8?utm_source=chatgpt.com
estrela,"vovó estrelou em outubro e me atingiu como um meteoro. sobrevivi o resto do tempo. sobrevivi. dezembro, no fim de tudo, sai pelo campus vazio e tirei umas fotos. vovó estrela, eu meteorada. agora recuperada (ou recuperando)."
esquecer,"papai me ligou num domingo. me contou que tinha ido ao concerto, que minha cachorrinha chiara estava mal e que vovó tinha um caroço no peito. perguntei de qual de minhas avós ele falava, ao que ele me respondeu: “você só tem uma""."
color,https://coolors.co/palette/dad7cd-a3b18a-588157-3a5a40-344e41
sunday, https://allpoetry.com/poem/14329518-Dimanche-by-Jacques-Prevert-#orig_14329518,%20.otitle_14329518
sun, https://www.google.com/maps/place/main+green+brown/data=!4m2!3m1!1s0x89e4453cdf640337:0x1ad284625090f99?sa=X&ved=1t:242&ictx=111
lazy chickpeas, https://www.tastingtothrive.com/20-minute-marry-me-chickpeas-using-canned-chickpeas/
tiny desk, https://youtu.be/SW6L_lTrIFg?si=sHf20e5wZ-5s6a1D
free for brown students, https://www.trinityrep.com/
comma, "for starters, let's talk about john. he might have multiple sisters or only one. sure thing is she lives in paris, or at least one of them does: it depends on the comma. john's sister who lives in paris is one of many. however, john's sister, who lives in paris, is unique — she deserves the comma.
john might eat or be eaten: it depends on the comma. 'let's eat, john' is an invitation, but 'let's eat john' is a run-away warning. truth is john is no longer a person — he turns into a vocative or an object: it depends on the comma."
rhode island,"small enough to walk through in a day, big enough to encompass four year"
minas gerais, https://open.spotify.com/intl-de/track/6Uom35K1gBa5PpPsESWwZa?si=4a20d44a11684b48
car pilot, https://www.youtube.com/watch?v=LgRqYh7Aivg&t=1s
nickname,"names are a great mystery. i've never known whether the name is molded by the child or the child changed to fit the name. but you can be sure of this—whenever a human has a nickname it is a proof that the name given him was wrong.
john steinbeck, east of eden"
qual seu nome?, "helena"
lelelelelele, https://youtu.be/weRHyjj34ZE?si=WGqkw5FABscJ1Dls&t=34
why isn't this on spotify??????, https://youtu.be/qPvxqKAOE4k?si=AN72aQz5ou3EWZ14
lelelele?, https://youtu.be/XsYVERo8FtQ?si=ijo7G02cnKO-_WlB
why am i like this !!!!!!,"no further explanation"
pollution. is. collonialism., https://www.amazon.com/dp/147801413X/?bestFormat=true&k=pollution%20is%20colonialism&ref_=nb_sb_ss_w_scx-ent-bk-v2_k0_1_13_de&crid=24CXVB4FVBTND&sprefix=pollution%20is%20
